,ArrDelay,Month,DayOfWeek,AirTime,Distance,TaxiIn,TaxiOut,DepDelay,Diverted,Carrier,Weather,NAS,Security,LateAircraft
120,-15,5,4,74,552,9,10,-4,0,0,0,0,0,0
121,-8,10,3,50,338,7,8,-3,0,0,0,0,0,0
122,-11,10,1,31,110,2,11,-5,0,0,0,0,0,0
123,8,8,6,105,615,3,20,-1,0,0,0,0,0,0
124,50,4,4,208,1506,6,12,63,0,1,0,1,0,1
125,68,8,4,87,576,9,11,81,0,0,0,0,0,1
126,-11,6,5,164,1300,7,18,-4,0,0,0,0,0,0
127,-13,9,6,125,936,14,13,-5,0,0,0,0,0,0
128,-12,12,1,46,284,5,7,0,0,0,0,0,0,0
129,36,8,6,125,1013,5,17,49,0,1,0,0,0,0
130,-6,10,4,194,1635,11,24,-4,0,0,0,0,0,0
131,13,1,3,20,89,3,23,13,0,0,0,0,0,0
132,-10,6,7,23,110,5,16,-6,0,0,0,0,0,0
133,2,7,2,64,290,7,15,1,0,0,0,0,0,0
134,5,9,4,198,1536,8,23,9,0,0,0,0,0,0
135,14,4,4,137,1072,5,21,6,0,0,0,0,0,0
136,7,11,3,132,874,23,11,-2,0,0,0,0,0,0
137,-6,9,6,64,370,5,16,0,0,0,0,0,0,0
138,-4,9,7,52,349,9,14,-6,0,0,0,0,0,0
139,31,12,3,99,732,5,18,39,0,1,0,0,0,0
140,-12,9,1,109,761,5,23,-3,0,0,0,0,0,0
141,14,4,7,36,190,27,11,0,0,0,0,0,0,0
142,-12,10,2,65,469,10,8,-4,0,0,0,0,0,0
143,13,4,5,64,371,4,5,20,0,0,0,0,0,0
144,9,9,6,41,224,27,16,-5,0,0,0,0,0,0
145,-1,3,2,79,611,6,12,7,0,0,0,0,0,0
146,2,1,1,52,293,2,9,-1,0,0,0,0,0,0
147,4,10,1,147,964,9,17,-1,0,0,0,0,0,0
148,58,8,5,251,2182,6,17,64,0,0,0,0,0,1
149,-6,12,1,67,406,11,11,1,0,0,0,0,0,0
151,27,4,4,64,487,3,8,37,0,1,0,0,0,1
152,24,8,3,77,512,6,49,0,0,0,0,1,0,0
153,2,4,3,58,411,12,19,0,0,0,0,0,0,0
154,6,2,5,259,1721,5,14,-4,0,0,0,0,0,0
155,-5,11,3,35,185,4,18,-6,0,0,0,0,0,0
156,-18,4,3,77,590,8,20,-5,0,0,0,0,0,0
157,-14,11,5,42,160,8,10,-7,0,0,0,0,0,0
158,0,3,3,313,2677,9,23,-5,0,0,0,0,0,0
159,1,4,2,63,250,6,16,-5,0,0,0,0,0,0
160,12,1,7,66,507,4,14,26,0,0,0,0,0,0
161,-12,8,1,49,247,6,8,-5,0,0,0,0,0,0
162,-8,3,6,126,761,10,16,-11,0,0,0,0,0,0
163,-10,5,6,34,180,4,8,-1,0,0,0,0,0,0
164,-15,11,2,37,157,5,9,-6,0,0,0,0,0,0
165,-4,5,7,61,438,5,15,-3,0,0,0,0,0,0
166,-9,5,7,28,156,5,12,0,0,0,0,0,0,0
167,-16,5,4,64,390,8,9,-4,0,0,0,0,0,0
168,143,3,7,61,264,7,39,119,0,0,0,1,0,0
169,-18,7,2,207,1623,8,13,-6,0,0,0,0,0,0
170,0,12,2,75,602,8,17,5,0,0,0,0,0,0
171,-1,10,1,97,665,8,22,-5,0,0,0,0,0,0
172,-11,4,2,71,528,13,7,-2,0,0,0,0,0,0
173,-11,11,6,46,223,8,10,-6,0,0,0,0,0,0
174,-11,7,1,75,551,4,14,-4,0,0,0,0,0,0
175,-16,6,5,135,1062,2,10,-3,0,0,0,0,0,0
176,11,12,3,52,249,2,34,-3,0,0,0,0,0,0
177,3,9,7,60,235,14,15,0,0,0,0,0,0,0
178,-9,7,1,160,1208,3,11,1,0,0,0,0,0,0
179,91,7,7,79,264,16,11,72,0,0,0,1,0,1
180,28,7,4,57,374,4,8,44,0,1,0,0,0,0
181,-2,2,6,103,867,4,17,7,0,0,0,0,0,0
182,4,1,2,130,866,5,18,8,0,0,0,0,0,0
183,-10,6,1,80,603,5,13,-3,0,0,0,0,0,0
184,59,7,2,67,329,4,70,-1,0,0,0,1,0,0
185,15,3,5,161,911,3,13,-3,0,0,0,1,0,0
186,-11,4,2,42,247,2,10,-5,0,0,0,0,0,0
187,74,10,1,118,197,6,16,-8,0,0,0,1,0,0
188,18,9,1,104,581,6,19,-2,0,0,0,1,0,0
189,-21,6,1,118,748,7,33,-2,0,0,0,0,0,0
190,-2,1,6,52,299,2,22,-5,0,0,0,0,0,0
191,-7,10,2,124,895,6,10,-2,0,0,0,0,0,0
192,18,12,4,248,1953,12,20,-9,0,0,0,1,0,0
193,-6,7,4,64,440,6,8,1,0,0,0,0,0,0
194,-3,1,2,85,500,11,16,-10,0,0,0,0,0,0
195,-9,10,6,72,468,4,11,-3,0,0,0,0,0,0
196,-14,2,6,101,752,6,9,-10,0,0,0,0,0,0
197,22,2,2,64,432,6,15,24,0,0,0,0,0,1
198,54,8,5,72,543,23,8,46,0,0,0,1,0,1
199,-11,4,2,98,649,3,14,-3,0,0,0,0,0,0
200,-21,3,6,40,214,4,15,-3,0,0,0,0,0,0
201,-34,10,6,94,644,10,15,-4,0,0,0,0,0,0
202,6,6,4,131,946,6,27,7,0,0,0,0,0,0
203,45,4,3,49,296,9,17,40,0,1,0,1,0,0
204,-2,8,7,103,794,5,13,1,0,0,0,0,0,0
205,2,6,7,62,389,3,6,6,0,0,0,0,0,0
208,-29,1,3,215,1926,5,16,-12,0,0,0,0,0,0
209,-1,9,5,41,207,10,15,1,0,0,0,0,0,0
210,-4,4,5,124,871,3,12,4,0,0,0,0,0,0
211,-3,6,4,40,253,6,12,-1,0,0,0,0,0,0
212,2,4,3,24,102,10,7,-5,0,0,0,0,0,0
213,-12,5,3,94,587,11,31,-9,0,0,0,0,0,0
214,-9,3,4,65,392,7,14,-8,0,0,0,0,0,0
215,-9,7,5,111,802,8,13,-3,0,0,0,0,0,0
216,17,8,2,86,590,8,23,14,0,1,0,1,0,0
217,-6,4,1,60,328,4,10,0,0,0,0,0,0,0
218,-3,1,2,112,868,9,17,0,0,0,0,0,0,0
219,-16,11,4,103,673,17,5,-6,0,0,0,0,0,0
220,1,11,1,45,282,10,9,2,0,0,0,0,0,0
221,125,3,2,122,733,8,26,127,0,1,0,0,0,1
222,3,10,6,63,416,10,17,-3,0,0,0,0,0,0
223,-7,11,2,53,267,4,8,-2,0,0,0,0,0,0
224,48,6,1,46,237,6,8,48,0,0,0,0,0,1
225,-17,12,7,99,722,5,13,-2,0,0,0,0,0,0
226,-3,10,5,103,643,13,11,-10,0,0,0,0,0,0
227,-5,11,5,21,100,5,11,-5,0,0,0,0,0,0
228,105,9,2,35,177,13,15,96,0,1,0,1,0,0
229,2,6,2,93,619,7,10,-1,0,0,0,0,0,0
230,36,12,5,29,139,4,17,38,0,1,0,0,0,0
231,17,2,5,70,455,6,22,14,0,1,0,0,0,0
232,-1,9,4,150,989,8,13,-2,0,0,0,0,0,0
233,20,2,7,121,759,4,15,23,0,1,0,0,0,1
234,25,9,5,49,267,20,43,-6,0,0,0,1,0,0
235,-14,4,4,66,397,5,11,4,0,0,0,0,0,0
236,-6,7,7,67,386,5,11,-2,0,0,0,0,0,0
237,156,12,5,99,552,32,13,122,0,0,0,1,0,1
238,-26,6,6,191,1660,5,11,-4,0,0,0,0,0,0
239,-16,8,7,37,197,5,15,-12,0,0,0,0,0,0
240,-13,6,5,38,236,9,16,-7,0,0,0,0,0,0
241,-15,10,7,185,1437,3,24,-3,0,0,0,0,0,0
242,2,5,7,40,215,10,18,-4,0,0,0,0,0,0
243,17,5,6,228,1521,7,10,2,0,0,0,1,0,0
244,84,2,5,197,1501,15,29,50,0,1,0,1,0,1
245,39,9,1,59,200,6,25,48,0,0,0,0,0,1
246,0,7,1,27,163,5,13,-5,0,0,0,0,0,0
247,14,6,7,82,528,11,24,9,0,0,0,0,0,0
248,33,6,7,62,337,5,17,35,0,0,0,1,0,0
249,-6,2,6,32,175,5,14,-2,0,0,0,0,0,0
250,2,1,7,99,604,6,35,-5,0,0,0,0,0,0
251,0,7,7,44,228,9,8,-1,0,0,0,0,0,0
252,-6,6,1,203,1501,6,4,-4,0,0,0,0,0,0
253,-7,8,7,21,100,5,8,-4,0,0,0,0,0,0
254,-22,11,7,76,651,4,8,-2,0,0,0,0,0,0
255,50,3,5,57,223,4,8,46,0,0,0,1,0,1
256,54,7,1,315,2406,5,43,58,0,1,0,0,0,1
257,6,5,4,66,373,5,16,4,0,0,0,0,0,0
258,-8,6,3,59,405,2,10,1,0,0,0,0,0,0
259,6,6,4,107,821,9,10,20,0,0,0,0,0,0
260,3,4,7,71,462,5,10,-3,0,0,0,0,0,0
261,0,10,5,176,1199,6,21,-4,0,0,0,0,0,0
262,-4,12,3,218,1846,11,18,2,0,0,0,0,0,0
263,-13,11,3,42,282,2,8,0,0,0,0,0,0,0
264,-10,9,2,319,2640,4,9,-2,0,0,0,0,0,0
265,5,8,4,91,612,3,15,1,0,0,0,0,0,0
266,-3,11,6,31,163,4,7,-2,0,0,0,0,0,0
267,-7,9,7,116,862,6,13,-4,0,0,0,0,0,0
268,-16,8,3,132,954,8,13,-4,0,0,0,0,0,0
269,-4,4,4,39,224,6,15,3,0,0,0,0,0,0
270,22,8,5,67,508,5,15,33,0,1,0,0,0,0
271,73,9,6,164,1302,3,64,32,0,0,0,1,0,0
272,5,1,2,40,199,3,10,13,0,0,0,0,0,0
273,-2,6,1,101,677,6,13,-2,0,0,0,0,0,0
274,-2,1,2,75,419,6,9,0,0,0,0,0,0,0
275,-17,2,2,162,1185,10,14,-3,0,0,0,0,0,0
276,-13,3,4,110,703,12,13,-4,0,0,0,0,0,0
277,-10,5,6,56,258,10,12,-10,0,0,0,0,0,0
278,-1,6,4,225,1891,11,19,16,0,0,0,0,0,0
279,70,6,1,49,282,15,5,71,0,0,1,0,0,1
280,-23,3,6,41,238,4,10,-3,0,0,0,0,0,0
281,12,2,6,243,1593,6,15,-7,0,0,0,0,0,0
282,3,9,4,128,868,4,27,-2,0,0,0,0,0,0
283,-16,7,5,59,352,4,19,-7,0,0,0,0,0,0
285,-1,12,3,67,455,14,9,0,0,0,0,0,0,0
286,18,2,1,40,236,4,19,20,0,0,0,0,0,1
287,37,3,1,209,1532,9,27,8,0,1,0,1,0,0
288,0,8,1,180,1363,3,9,3,0,0,0,0,0,0
289,2,1,7,43,256,10,21,0,0,0,0,0,0,0
290,2,1,1,86,533,7,22,-4,0,0,0,0,0,0
291,-12,4,4,72,528,4,16,-7,0,0,0,0,0,0
292,-2,8,2,28,134,3,18,2,0,0,0,0,0,0
293,-7,3,6,188,1192,6,10,-6,0,0,0,0,0,0
294,36,7,1,88,575,6,21,40,0,1,0,0,0,1
295,5,10,4,212,1635,6,38,5,0,0,0,0,0,0
296,-8,10,1,57,347,5,6,-1,0,0,0,0,0,0
297,30,9,5,132,951,4,49,-6,0,0,0,1,0,0
298,-8,1,4,64,336,3,7,1,0,0,0,0,0,0
299,-5,6,4,54,337,5,18,-2,0,0,0,0,0,0
300,-8,4,1,137,810,2,14,-5,0,0,0,0,0,0
301,-9,3,7,52,304,2,8,-1,0,0,0,0,0,0
302,206,12,6,65,328,13,22,186,0,0,0,1,0,0
303,-14,8,7,68,340,2,11,-5,0,0,0,0,0,0
304,16,12,4,337,2288,6,16,-3,0,0,0,1,0,0
305,-5,8,4,39,201,4,14,-2,0,0,0,0,0,0
306,77,8,1,63,284,6,6,67,0,0,1,1,0,0
307,5,12,3,226,1946,20,26,-9,0,0,0,0,0,0
308,-11,12,2,28,109,2,13,-3,0,0,0,0,0,0
309,-16,6,1,52,337,4,13,-4,0,0,0,0,0,0
310,-4,2,3,125,1068,8,19,-1,0,0,0,0,0,0
311,-4,10,4,126,998,10,18,12,0,0,0,0,0,0
312,-5,5,5,105,822,5,7,8,0,0,0,0,0,0
313,-22,11,2,48,268,6,8,-9,0,0,0,0,0,0
314,16,9,7,85,508,14,10,12,0,0,0,1,0,1
315,-13,8,3,59,408,12,9,-3,0,0,0,0,0,0
316,-13,10,7,84,595,17,10,-7,0,0,0,0,0,0
317,-5,7,7,92,652,22,9,17,0,0,0,0,0,0
319,17,1,4,85,606,22,12,10,0,1,0,1,0,1
320,-7,2,4,73,414,4,14,-7,0,0,0,0,0,0
321,-12,2,4,93,669,9,14,3,0,0,0,0,0,0
322,-7,12,4,43,276,6,9,-5,0,0,0,0,0,0
323,-3,10,4,69,396,5,12,-4,0,0,0,0,0,0
324,0,11,6,106,640,8,16,-2,0,0,0,0,0,0
325,0,8,7,60,301,12,33,0,0,0,0,0,0,0
326,64,8,1,328,2576,6,54,49,0,0,0,1,0,1
327,10,11,1,120,888,5,14,15,0,0,0,0,0,0
328,142,12,5,88,583,28,14,142,0,0,1,0,0,0
329,8,3,6,33,135,10,13,8,0,0,0,0,0,0
330,-4,11,5,58,373,4,5,9,0,0,0,0,0,0
331,-13,3,2,89,544,5,21,-3,0,0,0,0,0,0
332,-3,9,5,49,271,5,9,-1,0,0,0,0,0,0
333,-22,1,1,138,1011,4,30,-6,0,0,0,0,0,0
334,-15,2,5,288,2504,5,10,-3,0,0,0,0,0,0
335,-7,6,1,59,368,5,11,-2,0,0,0,0,0,0
336,29,6,2,103,853,7,11,48,0,0,0,0,0,1
337,25,4,4,94,525,11,11,9,0,1,0,1,0,0
338,-11,10,6,92,516,9,10,-10,0,0,0,0,0,0
339,-16,9,1,33,157,9,10,-2,0,0,0,0,0,0
340,19,3,6,190,1099,4,7,-2,0,0,0,1,0,0
341,7,8,7,92,518,9,6,5,0,0,0,0,0,0
342,35,5,2,231,1624,4,9,31,0,0,0,1,0,1
343,-10,12,2,62,526,5,21,4,0,0,0,0,0,0
345,90,5,5,98,680,7,22,85,0,1,0,1,0,0
346,-6,11,1,21,89,7,12,-6,0,0,0,0,0,0
347,6,1,6,190,1297,4,57,-29,0,0,0,0,0,0
348,-11,5,6,67,513,5,7,-2,0,0,0,0,0,0
349,-16,10,1,56,408,2,13,-2,0,0,0,0,0,0
350,-8,1,5,20,100,5,6,-5,0,0,0,0,0,0
351,0,5,4,46,215,11,9,-3,0,0,0,0,0,0
352,-17,4,2,69,503,9,11,-9,0,0,0,0,0,0
353,1,12,3,201,1438,2,13,15,0,0,0,0,0,0
354,68,6,2,140,888,6,50,22,0,0,0,1,0,1
355,-19,8,4,131,861,9,12,-9,0,0,0,0,0,0
356,-4,12,1,92,646,4,6,9,0,0,0,0,0,0
357,-17,6,2,124,1046,5,11,-2,0,0,0,0,0,0
358,-3,7,1,53,325,2,6,1,0,0,0,0,0,0
359,-1,9,1,97,762,8,26,-2,0,0,0,0,0,0
360,81,7,7,91,612,4,20,73,0,1,0,1,0,0
361,-10,10,3,50,297,21,10,-5,0,0,0,0,0,0
362,25,3,5,60,402,2,25,24,0,1,0,0,0,0
363,-6,11,2,38,197,6,11,-1,0,0,0,0,0,0
364,-11,1,6,31,134,8,9,-2,0,0,0,0,0,0
365,-27,5,5,51,320,6,7,-6,0,0,0,0,0,0
366,-2,11,3,79,545,6,19,0,0,0,0,0,0,0
367,-15,4,3,80,647,10,6,-1,0,0,0,0,0,0
368,-16,12,7,125,850,3,19,-3,0,0,0,0,0,0
369,-6,10,5,107,819,5,8,5,0,0,0,0,0,0
370,16,5,1,149,1171,29,20,-2,0,0,0,1,0,0
371,-1,6,2,65,366,13,12,-4,0,0,0,0,0,0
372,-12,5,6,50,323,2,11,-5,0,0,0,0,0,0
373,-18,11,4,110,642,4,10,-2,0,0,0,0,0,0
374,-9,12,1,131,957,8,10,-1,0,0,0,0,0,0
375,-16,5,6,125,866,6,20,-6,0,0,0,0,0,0
376,2,3,3,143,964,5,24,-4,0,0,0,0,0,0
377,-3,6,4,56,342,4,16,1,0,0,0,0,0,0
378,-4,1,1,54,209,3,14,-5,0,0,0,0,0,0
379,-3,5,5,44,291,5,26,-7,0,0,0,0,0,0
380,-6,2,2,35,177,7,5,-3,0,0,0,0,0,0
381,9,4,7,111,679,8,19,-1,0,0,0,0,0,0
382,-9,12,3,54,303,5,7,-5,0,0,0,0,0,0
383,15,2,2,16,49,7,14,13,0,0,0,0,0,1
384,6,8,4,75,493,5,31,3,0,0,0,0,0,0
385,-8,4,4,89,726,6,24,-2,0,0,0,0,0,0
386,26,9,2,79,544,18,50,9,0,0,0,1,0,1
387,10,8,2,68,493,6,37,2,0,0,0,0,0,0
388,-1,10,2,32,163,4,9,-4,0,0,0,0,0,0
389,-11,4,2,203,1739,8,16,-3,0,0,0,0,0,0
390,-37,3,5,226,2079,4,13,-10,0,0,0,0,0,0
391,127,2,6,63,409,5,16,128,0,0,1,0,0,1
392,-17,10,7,80,569,3,9,-4,0,0,0,0,0,0
393,-20,3,3,50,264,10,16,-10,0,0,0,0,0,0
394,-12,3,2,28,109,10,12,-8,0,0,0,0,0,0
395,38,12,2,240,2165,7,14,42,0,1,0,0,0,1
396,-10,4,1,95,753,10,10,-5,0,0,0,0,0,0
397,-5,12,2,53,290,3,13,1,0,0,0,0,0,0
398,148,12,7,196,1302,5,192,0,0,0,0,1,0,0
399,-9,6,5,87,534,4,9,-4,0,0,0,0,0,0
400,-5,8,7,111,809,8,12,-1,0,0,0,0,0,0
401,-3,3,2,146,1009,6,16,7,0,0,0,0,0,0
402,25,10,5,61,419,5,13,34,0,1,0,0,0,0
403,19,5,2,42,279,3,8,26,0,1,0,0,0,1
404,18,4,4,132,978,4,19,23,0,0,0,1,0,1
405,-3,8,4,242,2007,4,17,6,0,0,0,0,0,0
406,-9,3,1,125,957,5,8,-2,0,0,0,0,0,0
407,52,3,2,76,431,18,16,42,0,0,0,1,0,1
408,7,8,4,202,1562,13,13,4,0,0,0,0,0,0
409,15,10,7,48,207,7,11,14,0,0,0,1,0,1
410,0,9,4,160,1069,4,25,-5,0,0,0,0,0,0
411,-8,9,7,116,781,10,10,-7,0,0,0,0,0,0
412,-27,10,2,44,209,4,12,-12,0,0,0,0,0,0
413,-10,5,1,57,364,11,10,-3,0,0,0,0,0,0
414,-9,5,6,59,410,2,5,0,0,0,0,0,0,0
415,-3,5,2,117,851,15,13,4,0,0,0,0,0,0
416,-11,10,5,172,1302,3,9,-5,0,0,0,0,0,0
417,-1,11,1,91,558,5,14,-9,0,0,0,0,0,0
418,0,3,2,99,683,8,13,-5,0,0,0,0,0,0
419,10,4,5,106,631,5,28,-12,0,0,0,0,0,0
420,20,4,5,119,781,7,18,-2,0,0,0,1,0,0
421,-2,8,2,113,674,8,12,-7,0,0,0,0,0,0
422,2,10,1,140,1045,11,12,-6,0,0,0,0,0,0
423,2,1,4,55,329,4,25,-4,0,0,0,0,0,0
424,9,4,3,137,1155,6,17,18,0,0,0,0,0,0
425,8,1,2,103,644,8,32,1,0,0,0,0,0,0
426,3,3,4,40,239,4,12,7,0,0,0,0,0,0
427,5,11,7,72,331,10,9,-6,0,0,0,0,0,0
428,2,1,3,47,226,9,17,-5,0,0,0,0,0,0
429,0,2,7,26,102,4,7,0,0,0,0,0,0,0
430,1,12,6,49,326,3,21,0,0,0,0,0,0,0
431,27,9,7,67,403,5,11,24,0,0,0,1,0,1
433,-20,7,5,194,1389,4,15,-8,0,0,0,0,0,0
434,-16,9,6,75,546,6,10,-7,0,0,0,0,0,0
435,-18,9,6,57,399,9,10,-7,0,0,0,0,0,0
436,-9,1,7,86,552,6,9,0,0,0,0,0,0,0
437,-2,4,3,81,589,12,17,-2,0,0,0,0,0,0
438,-3,1,1,62,406,6,12,0,0,0,0,0,0,0
439,12,2,3,54,286,6,34,-6,0,0,0,0,0,0
440,-1,1,3,177,1197,5,21,-8,0,0,0,0,0,0
441,-10,5,1,78,529,5,36,4,0,0,0,0,0,0
442,-6,8,3,110,808,5,11,-4,0,0,0,0,0,0
443,66,5,4,89,589,6,19,62,0,1,0,1,0,0
444,24,2,7,134,866,7,23,16,0,0,0,1,0,1
445,-13,9,7,277,2027,8,9,-2,0,0,0,0,0,0
446,6,4,3,113,787,5,19,-1,0,0,0,0,0,0
447,-7,10,1,120,781,6,7,0,0,0,0,0,0,0
448,-12,10,7,47,299,7,10,-4,0,0,0,0,0,0
449,-6,11,6,159,1235,11,17,-3,0,0,0,0,0,0
450,-4,6,4,100,657,12,10,-1,0,0,0,0,0,0
